,finger,t,px,py,pz,fx,fy,fz,nx,ny,nz,taux,tauy,tauz,vx,vy,vz
0,FF,0,0.09571421522314597,-0.331485,1.0334050140403652,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.9571421522314596,-3.3148499999999994,10.33405014040365
1,FF,0,0.09571756363667158,-0.331485,1.0333980037584538,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,3.348413525616767e-05,0.0,-7.010281911412619e-05
2,FF,0,0.09571429483447266,-0.3314846825933248,1.0333959803891477,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-3.2688021989191185e-05,3.1740667516544363e-06,-2.023369306103362e-05
3,FF,0,0.09571838982660949,-0.331485,1.0333959718004415,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,4.09499213682718e-05,-3.1740667516544363e-06,-8.588706190693074e-08
4,FF,0,0.09571422970834047,-0.331485,1.0333914084738836,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-4.160118269022628e-05,0.0,-4.563326557960323e-05
5,FF,0,0.0956758566795253,-0.331485,1.0333961926176256,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-0.000383730288151668,0.0,4.784143742053715e-05
6,FF,0,0.09570829216984,-0.331485,1.033392211445556,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0003243549031470283,0.0,-3.9811720695670516e-05
7,MF,0,0.09498811153067689,-0.331485,1.0114657037511083,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-0.0072018063916311215,0.0,-0.21926507694447706
8,MF,0,0.09498944347060143,-0.331485,1.0114647591787256,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,1.3319399245342867e-05,0.0,-9.445723827550268e-06
9,MF,0,0.0949881244501358,-0.3314849341542908,1.0114639452704637,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.3190204656288174e-05,6.584570916290389e-07,-8.139082618985327e-06
10,MF,0,0.094990375536224,-0.331485,1.011463940960485,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,2.2510860882007933e-05,-6.584570916290389e-07,-4.3099785962397164e-08
11,MF,0,0.09498811414800573,-0.331485,1.0114629783427116,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-2.2613882182664913e-05,0.0,-9.626177734922692e-06
12,MF,0,0.09498695774909269,-0.331485,1.011463951323027,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.1563989130436436e-05,0.0,9.729803154279182e-06
13,MF,0,0.09498746655407397,-0.331485,1.0114635303154855,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,5.088049812862483e-06,0.0,-4.210075414956549e-06
14,RF,0,0.09567342935793587,-0.331485,0.989409811078437,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.00685962803861892,0.0,-0.22053719237048575
15,RF,0,0.09567689624195039,-0.331485,0.9894029224564495,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,3.466884014521887e-05,0.0,-6.888621987499732e-05
16,RF,0,0.09567350761384102,-0.33148468265267467,0.9894008255729154,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-3.388628109363134e-05,3.1734732530708243e-06,-2.0968835340307024e-05
17,RF,0,0.09567779743452452,-0.331485,0.9894008166152399,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,4.289820683497925e-05,-3.1734732530708243e-06,-8.957675490250949e-08
18,RF,0,0.09567344361280156,-0.331485,0.9893962477973306,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-4.353821722966056e-05,0.0,-4.568817909333944e-05
19,RF,0,0.09564655073869574,-0.331485,0.9894009738325078,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-0.0002689287410581609,0.0,4.726035177204935e-05
